Result	Accuracy
AB	0
AB	1
AC	0
AB	0
AB	0
AC	1
AC	0
BC	0
BC	0
AC	1
BC	0
AB	1
AC	0
AB	0
AB	1
AB	1
BC	0
BC	0
AB	1
AB	0
AB	0
AC	0
AB	1
BC	0
AB	1
AB	0
BC	0
BC	1
BC	0
AC	1
AB	1
AB	0
AB	0
BC	1
AB	0
AB	0
AB	1
AC	1
BC	1
AB	1
AC	1
AB	0
AB	0
AB	0
AC	1
BC	0
AB	0
AB	1
AB	0
AC	1
AC	0
BC	0
AB	0
AC	0
AB	0
AB	0
AB	0
AB	0
AC	0
AB	1
AC	0
AB	1
AB	0
AB	1
BC	1
BC	0
BC	1
AB	0
AB	0
BC	0
AB	0
AC	1
AB	0
BC	1
AC	1
AC	0
AB	0
AC	0
BC	1
AB	0
AC	0
AB	0
AB	0
BC	1
AB	0
AB	0
AB	0
AB	1
BC	0
BC	1
AB	1
BC	1
AC	0
AC	0
AB	1
AB	0
AB	1
AB	0
AB	1
AC	0
